[20:55:31] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:55:35] [ServerMain/INFO]: Loaded 7 recipes
[20:55:35] [ServerMain/INFO]: Loaded 1271 advancements
[20:55:36] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:55:36] [Server thread/INFO]: Loading properties
[20:55:36] [Server thread/INFO]: Default game type: SURVIVAL
[20:55:36] [Server thread/INFO]: Generating keypair
[20:55:36] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:55:36] [Server thread/INFO]: Using epoll channel type
[20:55:36] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:55:36] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:55:36] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:55:36] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:55:36] [Server thread/INFO]: Preparing level "world"
[20:55:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:55:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[20:56:37] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[20:56:37] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[20:56:38] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[20:56:41] [Server thread/INFO]: Time elapsed: 52619 ms
[20:56:41] [Server thread/INFO]: Done (64.840s)! For help, type "help"
